,Enter_CMC,Max_CMC,Min_CMC,Largest_Bonus,ICO_Price,Number_of_ICO_Tokens,Total_Supply_Ratio,ICO_Market_Cap,Now_CMC,data_added
Streamr,0.07248500000000001,0.374587,0.057971,,0.0615,650000000.0,0.65,31665613.0,,
SushiSwap,,,,,,,,,11.34937878578146,2020-08-28T00:00:00.000Z
Synthetix,,,,,,,,,10.11254461138761,2018-03-14T00:00:00.000Z
THETA,,,,,,,,,6.92637018125859,2018-01-17T00:00:00.000Z
THORChain,,,,,,,,,13.18036640586348,2019-07-23T00:00:00.000Z
TRON,,,,,,,,,0.09622223725025,2017-09-13T00:00:00.000Z
Telcoin,0.0046,0.01169,0.002352,0.5,0.0013,25000000000.0,0.25,25000000.0,0.01835618753597,2018-01-14T00:00:00.000Z
Terra,,,,,,,,,42.92166723561421,2019-07-26T00:00:00.000Z
TerraUSD,,,,,,,,,1.00276527474694,2020-09-21T00:00:00.000Z
Tether,,,,,,,,,1.0000262416368,2015-02-25T00:00:00.000Z
Tezos,,,,,,,,,6.19119087877015,2017-10-06T00:00:00.000Z
The Graph,,,,,,,,,0.96986997850335,2020-12-17T00:00:00.000Z
Theta,0.1539,0.309,0.098,0.2,0.12,300000000.0,0.4,20000000.0,,
Theta Fuel,,,,,,,,,0.33740835964402,2019-03-28T00:00:00.000Z
Tierion,0.205215,0.44516999999999995,0.042977,,0.071,350000000.0,0.35,25000000.0,,
Trinity,0.23,0.41,0.13699999999999998,0.25,0.06,330000000.0,0.33,20000000.0,,
Tron,0.0020510000000000003,0.300363,0.001091,,0.0019,55000000000.0,0.55,157171762.0,,
TrueUSD,,,,,,,,,0.99985096761122,2018-03-06T00:00:00.000Z
UNUS SED LEO,,,,,,,,,3.17746124482656,2019-05-21T00:00:00.000Z
USD Coin,,,,,,,,,0.99984461890092,2018-10-08T00:00:00.000Z
Unikoin / Unikrn,0.318346,2.47,0.046679000000000005,,0.253,200000000.0,0.2,84781652.0,,
Uniswap,,,,,,,,,25.46120584919433,2020-09-17T00:00:00.000Z
VeChain,,,,,,,,,0.1323075538081,2017-08-22T00:00:00.000Z
Vezt,1.57,4.16,0.188,1.5,0.5,62500000.0,0.5,1380644.0,,
WaBi,1.39,5.86,0.9137780000000001,0.0,0.24,51830000.0,0.52,12957500.0,,
Waves,,,,,,,,,27.52263233475832,2016-06-02T00:00:00.000Z
Wax Token,4.6,5.01,0.231895,0.65,0.16,64750000.0,0.35,326009343.0,,
Wrapped Bitcoin,,,,,,,,,61069.61417111312,2019-01-30T00:00:00.000Z
XDC Network,,,,,,,,,0.09312954286393,2018-04-12T00:00:00.000Z
XRP,,,,,,,,,1.06473129981739,2013-08-04T00:00:00.000Z
Zcash,,,,,,,,,158.8944139296106,2016-10-29T00:00:00.000Z
Zen Protocol,10.75,65.56,3.49,,3.86,12000000.0,0.6,60161440.0,,
Zilla,0.076,0.493,0.076,,0.0013,60000000.0,0.75,5700000.0,,
Zilliqa,0.136822,0.159557,0.043811,0.15,0.0038,5250000000.0,0.25,20000000.0,0.10035361700336,2018-01-25T00:00:00.000Z
eCash,,,,,,,,,0.0001804983592,2021-07-08T00:00:00.000Z
indaHash,0.361,0.631,0.102,0.3,0.21,320000000.0,0.8,75523400.0,,
renBTC,,,,,,,,,60935.24811509128,2020-06-28T00:00:00.000Z
yearn.finance,,,,,,,,,34826.29859396202,2020-07-18T00:00:00.000Z
